District,Coordination_n,PreventionControl_n,Surveillance_n,CaseManagement_n,WASH_n,ICTInnovation_n,RiskCommunication_n,MentalHealth_n,Logistics_n,HumanResources_n,Coordination,PreventionControl,Surveillance,CaseManagement,WASH,ICTInnovation,RiskCommunication,MentalHealth,Logistics,HumanResources
KISORO,5,5,5,4,3,4,6,1,5,4,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  Medical Teams International |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  Medical Teams International |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Medical Teams International |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  Farm Radio International,Care and Assistance For Forced Migrants (CAFOMI) |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  Farm Radio International |  Medical Teams International |  UNICEF |  World Health Organisation,World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  Conservation Through Public Health |  UNICEF |  United States Agency for International Development |  World Health Organisation,Care and Assistance For Forced Migrants (CAFOMI) |  UNICEF |  United States Agency for International Development |  World Health Organisation
KITAGWENDA,2,2,3,2,2,3,4,1,3,2,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Ministry of Security |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  UNICEF |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation
KITGUM,5,4,1,1,4,1,5,2,4,2,Adventist Development & Relief Agency (ADRA) |  ChildFund International |  Danish Refugee Council |  Food for the Hungry |  UNICEF,Adventist Development & Relief Agency (ADRA) |  Food for the Hungry |  Takataka Plastics |  UNICEF,Food for the Hungry,UNICEF,Adventist Development & Relief Agency (ADRA) |  ChildFund International |  Food for the Hungry |  UNICEF,ChildFund International,Adventist Development & Relief Agency (ADRA) |  ChildFund International |  Danish Refugee Council |  Food for the Hungry |  UNICEF,ChildFund International |  UNICEF,ChildFund International |  Food for the Hungry |  Takataka Plastics |  UNICEF,Food for the Hungry |  UNICEF
KOBOKO,10,6,4,5,6,4,9,6,9,5,Action Against Hunger |  AVSI FOUNDATION |  Dan Church Aid (DCA) |  Danish Refugee Council |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  Ministry of Security |  United Nations High Commissioner For Refugees |  World Health Organisation,AVSI FOUNDATION |  Danish Refugee Council |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation,AVSI FOUNDATION |  Danish Refugee Council |  Farm Radio International |  UNICEF |  United Nations High Commissioner For Refugees |  World Vision Uganda,Danish Refugee Council |  Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Dan Church Aid (DCA) |  Danish Refugee Council |  Farm Radio International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Danish Refugee Council |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Action Against Hunger |  AVSI FOUNDATION |  Dan Church Aid (DCA) |  Danish Refugee Council |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Danish Refugee Council |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation
KOLE,4,4,4,3,5,4,6,4,6,4,ChildFund International |  Food for the Hungry |  UNICEF |  World Health Organisation,Food for the Hungry |  UNICEF |  United States Agency for International Development |  World Health Organisation,Food for the Hungry |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Food for the Hungry |  UNICEF |  World Vision Uganda,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Food for the Hungry |  UNICEF |  World Health Organisation |  World Vision Uganda,ChildFund International |  UNICEF |  World Health Organisation |  World Vision Uganda,ChildFund International |  Food for the Hungry |  UNICEF |  United States Agency for International Development |  World Health Organisation |  World Vision Uganda,Food for the Hungry |  UNICEF |  World Health Organisation |  World Vision Uganda
KOTIDO,5,6,3,3,6,4,8,4,5,3,Adventist Development & Relief Agency (ADRA) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Adventist Development & Relief Agency (ADRA) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Ministry of Security |  World Health Organisation,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  World Health Organisation,Adventist Development & Relief Agency (ADRA) |  Farm Radio International |  Mercy Corps |  Save the Children International |  UNICEF |  World Vision Uganda,Farm Radio International |  Save the Children International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Mission Aviation Fellowship (MAF) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda
KUMI,1,2,3,2,1,3,3,1,3,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation
KWANIA,3,3,3,3,3,4,4,3,4,2,ChildFund International |  UNICEF |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation,ChildFund International |  UNICEF |  World Health Organisation,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation
KWEEN,1,3,3,3,2,3,4,1,4,2,World Health Organisation,Food for the Hungry |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,Food for the Hungry |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  Food for the Hungry,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  Food for the Hungry |  UNICEF |  World Health Organisation,World Health Organisation,Food for the Hungry |  UNICEF |  United States Agency for International Development |  World Health Organisation,Food for the Hungry |  World Health Organisation
KYANKWANZI,2,1,2,1,2,3,4,2,3,1,ChildFund International |  World Health Organisation,World Health Organisation,Ministry of Security |  World Health Organisation,World Health Organisation,ChildFund International |  Farm Radio International,ChildFund International |  Farm Radio International |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation,ChildFund International |  World Health Organisation,ChildFund International |  UNICEF |  World Health Organisation,World Health Organisation
KYEGEGWA,10,9,6,7,6,5,14,9,8,5,Adventist Development & Relief Agency (ADRA) |  Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  CARE International |  International Rescue Committee (IRC) |  Medical Teams International |  Street Child of Uganda |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  CARE International |  International Rescue Committee (IRC) |  Medical Teams International |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  Medical Teams International |  Ministry of Security |  United Nations High Commissioner For Refugees |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  International Rescue Committee (IRC) |  Medical Teams International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  International Rescue Committee (IRC) |  Street Child of Uganda |  UNICEF |  United Nations High Commissioner For Refugees,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  CARE International |  Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  CARE International |  Danish Refugee Council |  Farm Radio International |  Humanity & Inclusion |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Medical Teams International |  Save the Children International |  Street Child of Uganda |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,CARE International |  Humanity & Inclusion |  International Rescue Committee (IRC) |  Save the Children International |  Street Child of Uganda |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Danish Refugee Council |  Humanity & Inclusion |  International Rescue Committee (IRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Danish Refugee Council |  UNICEF |  United Nations High Commissioner For Refugees |  World Health Organisation
KYENJOJO,2,2,3,2,2,3,4,1,3,2,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Ministry of Security |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  UNICEF |  World Health Organisation,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda) |  World Health Organisation
KYOTERA,2,2,3,2,2,3,4,1,3,2,LifeNet International |  World Health Organisation,LifeNet International |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  World Health Organisation
LAMWO,7,5,2,3,5,0,7,5,6,4,Danish Refugee Council |  Food for the Hungry |  Lutheran World Federation |  Street Child of Uganda |  Trócaire |  UNICEF |  United Nations High Commissioner For Refugees,Food for the Hungry |  Lutheran World Federation |  Takataka Plastics |  UNICEF |  United Nations High Commissioner For Refugees,Lutheran World Federation |  United Nations High Commissioner For Refugees,Lutheran World Federation |  UNICEF |  United Nations High Commissioner For Refugees,Lutheran World Federation |  Street Child of Uganda |  Trócaire |  UNICEF |  United Nations High Commissioner For Refugees,None,Danish Refugee Council |  Lutheran World Federation |  Save the Children International |  Street Child of Uganda |  Trócaire |  UNICEF |  United Nations High Commissioner For Refugees,Lutheran World Federation |  Street Child of Uganda |  Trócaire |  UNICEF |  United Nations High Commissioner For Refugees,Dan Church Aid (DCA) |  Lutheran World Federation |  Takataka Plastics |  Trócaire |  UNICEF |  United Nations High Commissioner For Refugees,Lutheran World Federation |  Trócaire |  UNICEF |  United Nations High Commissioner For Refugees
LIRA,3,5,4,4,4,4,6,3,5,3,Plan International Uganda |  UNICEF |  World Health Organisation,International Rescue Committee (IRC) |  Plan International Uganda |  UNICEF |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  Plan International Uganda |  United States Agency for International Development |  World Health Organisation,Plan International Uganda |  UNICEF |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  International Rescue Committee (IRC) |  Plan International Uganda |  UNICEF,Farm Radio International |  International Rescue Committee (IRC) |  United States Agency for International Development |  World Health Organisation,Broederlijk Delen |  Farm Radio International |  International Rescue Committee (IRC) |  Plan International Uganda |  UNICEF |  World Health Organisation,International Rescue Committee (IRC) |  UNICEF |  World Health Organisation,International Rescue Committee (IRC) |  Plan International Uganda |  UNICEF |  United States Agency for International Development |  World Health Organisation,International Rescue Committee (IRC) |  UNICEF |  World Health Organisation
LUUKA,1,2,3,2,1,3,3,1,3,1,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
LUWERO,3,3,3,2,2,3,4,1,3,1,LifeNet International |  Street Business School |  World Health Organisation,LifeNet International |  Street Business School |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation
LWENGO,3,2,3,2,2,3,4,1,3,2,Clinton Health Access Initiative |  LifeNet International |  World Health Organisation,LifeNet International |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  World Health Organisation
LYANTONDE,2,1,2,1,2,2,4,2,2,1,Street Child of Uganda |  World Health Organisation,World Health Organisation,Ministry of Security |  World Health Organisation,World Health Organisation,Farm Radio International |  Street Child of Uganda,Farm Radio International |  World Health Organisation,Farm Radio International |  Street Child of Uganda |  UNICEF |  World Health Organisation,Street Child of Uganda |  World Health Organisation,UNICEF |  World Health Organisation,World Health Organisation
MADIOKOLLO,9,8,6,7,6,4,11,4,10,8,AVSI FOUNDATION |  Dan Church Aid (DCA) |  Danish Refugee Council |  International Rescue Committee (IRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  World Health Organisation,AVSI FOUNDATION |  CARE International  Uganda |  International Rescue Committee (IRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  World Health Organisation,AVSI FOUNDATION |  International Rescue Committee (IRC) |  Ministry of Security |  United Nations High Commissioner For Refugees |  Voluntary Services Overseas (VSO) |  World Health Organisation,AVSI FOUNDATION |  International Rescue Committee (IRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  World Health Organisation,AVSI FOUNDATION |  Farm Radio International |  Malteser International |  UNICEF |  United Nations High Commissioner For Refugees |  Voluntary Services Overseas (VSO),Farm Radio International |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  World Health Organisation,AVSI FOUNDATION |  CARE International  Uganda |  Dan Church Aid (DCA) |  Danish Refugee Council |  Farm Radio International |  International Rescue Committee (IRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  World Health Organisation,UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  CARE International |  Dan Church Aid (DCA) |  Danish Refugee Council |  Malteser International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  World Health Organisation,Danish Refugee Council |  International Rescue Committee (IRC) |  Malteser International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  World Health Organisation
MANAFWA,2,2,3,2,2,4,4,1,4,1,ChildFund International |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International,ChildFund International |  Farm Radio International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,ChildFund International |  UNICEF |  United States Agency for International Development |  World Health Organisation,World Health Organisation
MARACHA,4,4,3,3,3,3,5,3,4,3,AVSI FOUNDATION |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Ministry of Security |  World Health Organisation,AVSI FOUNDATION |  UNICEF |  World Health Organisation,AVSI FOUNDATION |  Farm Radio International |  UNICEF,Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  Farm Radio International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation
MASAKA,5,4,3,3,4,4,5,2,5,4,Clinton Health Access Initiative |  International Rescue Committee (IRC) |  Korea Foundation for International Healthcare(KOFIH) |  LifeNet International |  World Health Organisation,International Rescue Committee (IRC) |  LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,Farm Radio International |  International Rescue Committee (IRC) |  LifeNet International |  UNICEF,Farm Radio International |  International Rescue Committee (IRC) |  LifeNet International |  World Health Organisation,Farm Radio International |  International Rescue Committee (IRC) |  LifeNet International |  UNICEF |  World Health Organisation,International Rescue Committee (IRC) |  World Health Organisation,International Rescue Committee (IRC) |  Korea Foundation for International Healthcare(KOFIH) |  LifeNet International |  UNICEF |  World Health Organisation,International Rescue Committee (IRC) |  LifeNet International |  UNICEF |  World Health Organisation
MASINDI,3,2,3,1,3,3,5,3,4,1,ChildFund International |  Finnish Mission Uganda / Fida International |  World Health Organisation,Finnish Mission Uganda / Fida International |  World Health Organisation,Finnish Mission Uganda / Fida International |  Ministry of Security |  World Health Organisation,World Health Organisation,ChildFund International |  Farm Radio International |  Finnish Mission Uganda / Fida International,ChildFund International |  Farm Radio International |  World Health Organisation,ChildFund International |  Farm Radio International |  Finnish Mission Uganda / Fida International |  UNICEF |  World Health Organisation,ChildFund International |  Finnish Mission Uganda / Fida International |  World Health Organisation,ChildFund International |  Finnish Mission Uganda / Fida International |  UNICEF |  World Health Organisation,World Health Organisation
MAYUGE,3,3,4,3,4,5,7,3,6,4,ChildFund International |  LifeNet International |  World Health Organisation,LifeNet International |  United States Agency for International Development |  World Health Organisation,LifeNet International |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,LifeNet International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  LifeNet International |  World Vision Uganda,ChildFund International |  Farm Radio International |  LifeNet International |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  LifeNet International |  Restless Development Uganda |  UNICEF |  World Health Organisation |  World Vision Uganda,ChildFund International |  World Health Organisation |  World Vision Uganda,ChildFund International |  LifeNet International |  UNICEF |  United States Agency for International Development |  World Health Organisation |  World Vision Uganda,LifeNet International |  Restless Development Uganda |  World Health Organisation |  World Vision Uganda
MBALE,3,4,3,2,5,5,7,4,7,3,ChildFund International |  International Rescue Committee (IRC) |  World Health Organisation,Food for the Hungry |  International Rescue Committee (IRC) |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Food for the Hungry |  International Rescue Committee (IRC) |  World Vision Uganda,ChildFund International |  Farm Radio International |  International Rescue Committee (IRC) |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Food for the Hungry |  International Rescue Committee (IRC) |  UNICEF |  World Health Organisation |  World Vision Uganda,ChildFund International |  International Rescue Committee (IRC) |  World Health Organisation |  World Vision Uganda,ChildFund International |  Food for the Hungry |  International Rescue Committee (IRC) |  UNICEF |  United States Agency for International Development |  World Health Organisation |  World Vision Uganda,International Rescue Committee (IRC) |  World Health Organisation |  World Vision Uganda
MBARARA,2,3,4,3,1,3,4,1,3,2,Medical Teams International |  World Health Organisation,Medical Teams International |  United States Agency for International Development |  World Health Organisation,Medical Teams International |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,Medical Teams International |  United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  Medical Teams International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation
MITOOMA,1,2,3,2,1,3,3,1,3,2,World Health Organisation,United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,Farm Radio International,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation
MITYANA,3,2,4,2,2,3,4,1,3,2,Clinton Health Access Initiative |  LifeNet International |  World Health Organisation,LifeNet International |  World Health Organisation,Clinton Health Access Initiative |  LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation,World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  World Health Organisation
MOROTO,9,8,5,5,8,6,10,5,8,6,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  UNICEF |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  Welthungerhilfe |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  UNICEF |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  Welthungerhilfe |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Ministry of Security |  Voluntary Services Overseas (VSO) |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  Voluntary Services Overseas (VSO) |  World Health Organisation,Doctors with Africa CUAMM |  Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  Save the Children International |  UNICEF |  Voluntary Services Overseas (VSO) |  Welthungerhilfe,Doctors with Africa CUAMM |  Farm Radio International |  Save the Children International |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  World Health Organisation,Doctors with Africa CUAMM |  Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  Welthungerhilfe |  World Health Organisation,Mercy Corps |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mission Aviation Fellowship (MAF) |  UNICEF |  United Nations Population Fund (UNFPA) |  Voluntary Services Overseas (VSO) |  Welthungerhilfe |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Save the Children International |  UNICEF |  Voluntary Services Overseas (VSO) |  World Health Organisation
MOYO,7,7,4,4,4,3,9,4,7,4,AVSI FOUNDATION |  Danish Refugee Council |  Medical Teams International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  CARE International  Uganda |  Medical Teams International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  Medical Teams International |  Ministry of Security |  World Health Organisation,AVSI FOUNDATION |  Medical Teams International |  UNICEF |  World Health Organisation,AVSI FOUNDATION |  Farm Radio International |  UNICEF |  World Vision Uganda,Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  CARE International  Uganda |  Danish Refugee Council |  Farm Radio International |  Medical Teams International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  Danish Refugee Council |  Mission Aviation Fellowship (MAF) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Danish Refugee Council |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation
MPIGI,3,3,3,3,4,3,5,3,4,4,LifeNet International |  Street Business School |  World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,LifeNet International |  Ministry of Security |  World Health Organisation,LifeNet International |  UNICEF |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Vision Uganda,Farm Radio International |  LifeNet International |  World Health Organisation,Farm Radio International |  LifeNet International |  UNICEF |  World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda,LifeNet International |  UNICEF |  World Health Organisation |  World Vision Uganda,LifeNet International |  UNICEF |  World Health Organisation |  World Vision Uganda
