District,Coordination_n,PreventionControl_n,Surveillance_n,RiskCommunication_n,MentalHealth_n,ICTInnovation_n,WASH_n,Logistics_n,HumanResources_n,CaseManagement_n,Coordination,PreventionControl,Surveillance,CaseManagement,RiskCommunication,MentalHealth,ICTInnovation,WASH,Logistics,HumanResources
RUKIGA,29,26,23,17,11,10,1,27,28,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
RUKUNGIRI,29,26,23,17,11,10,1,27,28,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
ALEBTONG,30,27,23,17,12,10,4,27,28,29,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,UNICEF | World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
AMOLATAR,30,27,23,19,12,10,4,27,28,29,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Broederlijk Delen | Farm Radio International | UNICEF | World Health Organisation,UNICEF | World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
APAC,30,27,23,17,12,10,4,27,28,29,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,UNICEF | World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
DOKOLO,31,27,23,19,13,11,7,28,29,29,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | World Health Organisation,ChildFund International | UNICEF | World Health Organisation,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
KOLE,2,28,24,21,14,11,9,2,2,29,ChildFund International | Farm Radio International | Food for the Hungry | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Food for the Hungry | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Food for the Hungry | UNICEF | World Health Organisation | World Vision Uganda,ChildFund International | UNICEF | World Health Organisation | World Vision Uganda,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Food for the Hungry | UNICEF | World Vision Uganda,ChildFund International | Farm Radio International | Food for the Hungry | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda,ChildFund International | Farm Radio International | Food for the Hungry | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda
KWANIA,31,27,23,19,13,11,7,28,29,29,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | World Health Organisation,ChildFund International | UNICEF | World Health Organisation,ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | UNICEF,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
LIRA,31,1,24,21,13,11,8,1,1,30,Farm Radio International | Ministry of Security | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Living Goods | Ministry of Security | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation,Broederlijk Delen | Farm Radio International | Living Goods | Plan International Uganda | UNICEF | World Health Organisation,Living Goods | UNICEF | World Health Organisation,Farm Radio International | Living Goods | United States Agency for International Development | World Health Organisation,Farm Radio International | Living Goods | Plan International Uganda | UNICEF,Farm Radio International | Living Goods | Ministry of Security | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Living Goods | Ministry of Security | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation
OTUKE,31,28,24,19,13,10,4,28,1,30,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation | World Vision Uganda
OYAM,2,28,24,21,14,11,9,1,29,30,Doctors with Africa CUAMM | Farm Radio International | Ministry of Security | Street Child of Uganda | UNICEF | United States Agency for International Development | World Health Organisation,Doctors with Africa CUAMM | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Doctors with Africa CUAMM | Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Doctors with Africa CUAMM | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Doctors with Africa CUAMM | Farm Radio International | Street Child of Uganda | UNICEF | World Health Organisation | World Vision Uganda,Street Child of Uganda | UNICEF | World Health Organisation | World Vision Uganda,Doctors with Africa CUAMM | Farm Radio International | United States Agency for International Development | World Health Organisation,Doctors with Africa CUAMM | Farm Radio International | Street Child of Uganda | UNICEF | World Vision Uganda,Doctors with Africa CUAMM | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda,Doctors with Africa CUAMM | Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation
BUIKWE,5,4,4,23,13,14,10,5,4,4,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | Street Business School | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | Street Business School | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation | World Vision Uganda,Makerere University Walter Reed Project | World Health Organisation | World Vision Uganda,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | World Vision Uganda,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda
BUVUMA,31,28,25,20,12,11,4,1,29,30,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | UNICEF | World Health Organisation,Makerere University Walter Reed Project | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
KASSANDA,30,27,24,17,11,9,4,27,28,29,Clinton Health Access Initiative | Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | World Health Organisation,Farm Radio International | UNICEF,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation
KAYUNGA,3,3,2,21,12,11,7,2,2,3,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | Restless Development Uganda | Street Business School | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | Restless Development Uganda | Street Business School | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | Restless Development Uganda | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | Restless Development Uganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | Restless Development Uganda | UNICEF | World Health Organisation,Makerere University Walter Reed Project | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | UNICEF,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | Restless Development Uganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Makerere University Walter Reed Project | Ministry of Security | Restless Development Uganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation
KIBOGA,29,26,23,19,12,9,4,28,28,28,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda,World Health Organisation | World Vision Uganda,Farm Radio International | World Health Organisation,Farm Radio International | World Vision Uganda,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda
KYANKWANZI,30,26,23,19,12,10,4,28,28,28,ChildFund International | Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,ChildFund International | Farm Radio International | UNICEF | World Health Organisation,ChildFund International | World Health Organisation,ChildFund International | Farm Radio International | World Health Organisation,ChildFund International | Farm Radio International,ChildFund International | Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,ChildFund International | Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
LUWERO,2,1,25,19,11,11,7,1,29,30,Farm Radio International | LifeNet International | Ministry of Security | Street Business School | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | Street Business School | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | LifeNet International | World Health Organisation,Farm Radio International | LifeNet International,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
MITYANA,3,1,3,20,11,12,8,2,1,2,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | LifeNet International | World Health Organisation,Farm Radio International | LifeNet International,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
MUBENDE,3,3,3,20,11,12,9,3,3,4,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | LifeNet International | World Health Organisation,Farm Radio International | LifeNet International | UNICEF,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation
MUKONO,5,5,4,22,12,14,10,4,4,4,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | Street Business School | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | Street Business School | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation,Makerere University Walter Reed Project | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | UNICEF,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation
NAKASEKE,2,1,2,20,11,12,8,2,1,2,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | LifeNet International | World Health Organisation,Farm Radio International | LifeNet International,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
NAKASONGOLA,3,2,3,20,11,12,9,2,2,4,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | LifeNet International | World Health Organisation,Farm Radio International | LifeNet International | UNICEF,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation
BUKOMANSIMBI,2,1,2,20,11,12,8,3,1,2,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | LifeNet International | World Health Organisation,Farm Radio International | LifeNet International,Farm Radio International | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
BUTAMBALA,2,1,2,20,12,12,8,2,1,2,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | UNICEF | World Health Organisation,World Health Organisation | World Vision Uganda,Farm Radio International | LifeNet International | World Health Organisation,Farm Radio International | LifeNet International,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
GOMBA,29,26,23,17,11,9,1,27,27,28,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
KALANGALA,29,27,23,17,12,9,4,27,28,29,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,UNICEF | World Health Organisation,Farm Radio International | World Health Organisation,Farm Radio International | UNICEF,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation
KALUNGU,29,26,23,17,11,9,1,27,27,28,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
KYOTERA,31,28,25,19,11,11,7,1,29,30,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | LifeNet International | World Health Organisation,Farm Radio International | LifeNet International,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
LWENGO,3,1,2,20,11,12,8,2,1,2,Clinton Health Access Initiative | Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | LifeNet International | World Health Organisation,Farm Radio International | LifeNet International,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
LYANTONDE,30,26,23,19,12,9,4,27,27,28,Farm Radio International | Ministry of Security | Street Child of Uganda | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Street Child of Uganda | UNICEF | World Health Organisation,Street Child of Uganda | World Health Organisation,Farm Radio International | World Health Organisation,Farm Radio International | Street Child of Uganda,Farm Radio International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation
MASAKA,5,3,2,21,12,13,10,4,4,3,Clinton Health Access Initiative | Farm Radio International | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Living Goods | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | LifeNet International | Living Goods | UNICEF | World Health Organisation,Living Goods | World Health Organisation,Farm Radio International | LifeNet International | Living Goods | World Health Organisation,Farm Radio International | LifeNet International | Living Goods | UNICEF,Farm Radio International | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation,Farm Radio International | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Ministry of Security | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation
