"ProjectID","Partner","Project","Project_Status","Pillars_supported_by_project","Activities_conducted2","Implementing_partner","Regions","Districts"
"ID-105","Plan International Uganda","COVID-19 Response","New Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, Risk communications, Logistics","Activation of National Task Force, district task force and sub-committees., Technical support to local governments on COVID_19 Response, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Orient Health workers on COVID-19 surveillance, Activate Ambulance services to aid referral of patients, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of sanitizers, None,","","Bukedi, Busoga, Lango, West Nile","Tororo, Kamuli, Buyende, Lira, Nebbi"
"ID-106","Voluntary Services Overseas (VSO)","COVID-19 Activities","Ongoing Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, ICT innovations, Risk communications, Logistics, Human resources","Conduct a simulation/drill exercise, Orientation for surge staff, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Printing and distribution of  tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Facilitation of point of entry supervisors, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis., Activate Ambulance services to aid referral of patients, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Strengthen the District routine  reporting data,","","Acholi, Karamoja, West Nile, Acholi, Karamoja, West Nile","Gulu, Moroto, Napak, Madiokollo, Gulu"
"ID-107","International Rescue Committee (IRC)","Epidemic preparedness and response and life-saving health services to newly arrived refugees and vulnerable host community members in Uganda","New Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, Risk communications","Activation of National Task Force, district task force and sub-committees., Technical support to local governments on COVID_19 Response, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Printing and distribution of  tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Activate Ambulance services to aid referral of patients, None,","","Toro, West Nile, Toro, West Nile","Kyegegwa, Kasese, Kamwenge, Ntoroko, Yumbe, Adjumani, Arua, Madiokollo, Kyegegwa, Kasese, Kamwenge, Ntoroko, Yumbe, Adjumani, Arua"
"ID-108","International Rescue Committee (IRC)","Provision of Protection, Legal, Community-Based Protection Services, SGBV, Child Protection, Psychosocial Support and Health and Nutrition Services for Refugees residing in Arua, Yumbe, and Lamwo","New Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, Risk communications, Human resources","Activation of National Task Force, district task force and sub-committees., Technical support to local governments on COVID_19 Response, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Printing and distribution of  tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Food assistance and/or specialised nutrition foods for suspects and health workers in isolation., Recruitment of surge staff,","","West Nile","Yumbe, Adjumani, Arua, Madiokollo"
"ID-109","International Rescue Committee (IRC)","U-LEARN (Uganda learning, evidence, and accountability research network) -Consortium led by Save","Ongoing Project","Risk communications","None,","","Kampala, Toro, West Nile","Kampala, Kyegegwa, Kasese, Ntoroko, Yumbe, Adjumani, Arua, Madiokollo"
"ID-110","Adventist Development & Relief Agency (ADRA)","COVID-19 Awareness & Mitigation Project","New Project","Coordination, Infection prevention, WASH, Risk communications","Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, None,","Religious Leaders (IRCU members)","Acholi, Kampala, Karamoja, Toro, Acholi, Karamoja, Acholi","Kitgum, Agago, Pader, Kampala, Kaabong, Kotido, Abim, Kyegegwa, Kamwenge, Kitgum, Agago, Pader"
"ID-111","Adventist Development & Relief Agency (ADRA)","COVID-19 Awareness & Mitigation Project","New Project","other","None,","","",""
"ID-112","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA)","Karamoja United Nations HIV programme (KARUNA)","Ongoing Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, ICT innovations, Mental health, Risk communications, Logistics, Human resources","Activation of National Task Force, district task force and sub-committees., Monitor and supervise implementation of the plan by the national level, Develop and issue information products including situational reports on COVID-19, Orientation for surge staff, Orientation and deployment of the COVID-19 National Rapid Response Team, Conduct rapid assessments by National Rapid Response Team, Technical support to local governments on COVID_19 Response, Facilitation of MoH Top Management Team in coordination and support to local governments, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities., Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Review, refine, and finalise surveillance guidelines, training materials and reporting tools, Printing and distribution of  tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Identify all centres of risk and assess them for potential foci of undetected circulation of the virus, Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities,","Karamoja United Nations HIV Programme (KARUNA) IPs","Kampala, Karamoja, Kampala, Karamoja, Karamoja, Kampala","Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Kampala, Moroto, Amudat, Moroto"
"ID-113","Trocaire","COVID-19 EMERGENCY RESPONSE FUND PROJECT.","New Project","Coordination, WASH, Risk communications, Logistics, Human resources","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Procurement of sanitizers, Procurement of soap, Facilitation for COVID Response Teams,","Caritas Gulu and Don Bosco, Caritas Gulu and Don Bosco, Caritas Gulu and Don Bosco, Caritas Gulu and Don Bosco., Caritas Gulu and Don Bosco","Acholi","Lamwo"
"ID-114","Trocaire","COVID-19 Activities","Ongoing Project","Coordination, WASH, Mental health, Risk communications, Logistics, Human resources","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Finalize psychosocial support materials, Procurement of soap, Procurement of water tanks, Facilitation for COVID Response Teams,  COVID-19 RESPONSE PROJECT IN ACHOLI AND TESO.","African Women Rising, Thrive Gulu, TEDDO, TERELEPR, MCJL, SOCADIWODA,GULU ARCH DIOCESE,SOCADIDO., African Women Rising, Thrive Gulu, TEDDO, TERELEPR, MCJL, SOCADIWODA,GULU ARCH DIOCESE,SOCADIDO., Thrive Gulu, African Women Rising, Thrive Gulu, TEDDO, TERELEPR, MCJL, SOCADIWODA,GULU ARCH DIOCESE,SOCADIDO., African Women Rising, Thrive Gulu, TEDDO, TERELEPR, MCJL, SOCADIWODA,GULU ARCH DIOCESE,SOCADIDO., African Women Rising, Thrive Gulu, TEDDO, TERELEPR, MCJL, SOCADIWODA, GULU ARCH DIOCESES, SOCADIDO.","Acholi, Teso, Acholi, Teso, Acholi","Lamwo, Gulu, Bukedea, Amuria, Katakwi, Kalaki, Lamwo, Gulu, Lamwo"
"ID-115","Trocaire","COVID-19 RESPONSE PROJECT IN ACHOLI AND TESO-UGANDA-IRISH EMBASSY","New Project","Coordination, WASH, Risk communications, Logistics, Human resources","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Procurement of water tanks, Facilitation for COVID Response Teams,  Food distribution/support and food security; Radio programmes on GBV amidst; Access to other medical essential  services.services COVID-19","Caritas Gulu, Don Bosco and TEDDO, Caritas Gulu, Don Bosco and TEDDO, Caritas Gulu, Don Bosco and TEDDO, Caritas Gulu, Don Bosco and TEDDO, Caritas Gulu, Don Bosco and TEDDO","Acholi, Teso, Acholi, Teso","Lamwo, Bukedea, Kalaki, Lamwo"
"ID-116","Adventist Development & Relief Agency (ADRA)","COVID-19 Awareness & Mitigation Project","New Project","WASH, Risk communications","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., None,","","Acholi, Kampala, Karamoja, Toro, Acholi, Kampala, Karamoja, Toro","Kitgum, Agago, Pader, Kampala, Kaabong, Kotido, Abim, Kyegegwa, Kamwenge, Kitgum, Agago, Pader"
"ID-117","Adventist Development & Relief Agency (ADRA)","COVID-19 Awareness and Mitigation Project (CAM)","New Project","other","None,  COVID-19 Awareness & Mitigation Project","","",""
"ID-118","AWO International","Preparing communities to prevent and respond to COVID-19 in Isingiro District of Uganda","New Project","WASH, Risk communications","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, None,","COVOID Community Volunteer Initiative for Development, COVOID Community Volunteer Initiative for Development","Ankole","Isingiro"
"ID-119","AWO International","Mitigating effects of locust invasion meetingCoronavirus requirements for implementation in 2 districts in Karamoja","New Project","WASH, Risk communications","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH, None,","ECO Ecological Christian Organisation, ECO Ecological Christian Organisation","Karamoja","Napak, Nabilatuk"
"ID-120","Mission Aviation Fellowship (MAF)","Covid-19 activities only","Ongoing Project","Logistics","Transport arrangements for medical staff, None,  provision of subsidised flight services to upcountry airfields to facilitate staff and cargo  transport","Church Mission NGO's and Government","Karamoja, West Nile","Moroto, Kaabong, Kotido, Amudat, Adjumani, Arua, Moyo"
"ID-121","ALIGHT ( Formerly American Refugee Committee)","COVID-19 Activities","New Project","Coordination, Infection prevention, WASH, Mental health, Human resources","Technical support to local governments on COVID_19 Response, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Procure or construct IPC materials for health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Recruitment of surge staff,","Implemented by ALIGHT with Sub-grantees CBOs ( Wakati Foundation and Opportunigee), Implemented by ALIGHT with Sub-grantees CBOs ( Wakati Foundation and Opportunigee), Implemented by ALIGHT with Sub-grantees CBOs ( Wakati Foundation and Opportunigee)","Ankole","Isingiro"
"ID-122","Mission Aviation Fellowship (MAF)","COVID-19 activities only","Ongoing Project","other","None,  Flights to any of the airstrips within the country, MAF is able to provide subsidised air transport for church, mission and development agencies (NGO's) as well as government staff for emergency flights related to the Covid response under a MoH letter of authorisation","","Karamoja, West Nile","Moroto, Kaabong, Kotido, Amudat, Adjumani, Arua, Moyo"
"ID-123","United Nations High Commissioner For Refugees","Preparedness and Response in Refugee Hosting districts","New Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, Mental health, Risk communications, Logistics, Human resources","Activation of National Task Force, district task force and sub-committees., Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Orient Health workers on COVID-19 surveillance, Contact identification, contact tracing, and contact follow up and contacts of contacts, Activate Ambulance services to aid referral of patients, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procurement of infared thermometers, Fuel and maintenance requirementst for central (delivery of medical supplies, IEC materials), Procurement of ambulances, Procurement ICU ward equipment for RRHs (Procure oxygen concentrators, weighing scale, blood gas analyser, portable ultrasound, central patient monitoring station, patient trolleys, pharmaceutical fridge, crash cart, cardiac tables, transeophagheal echocardiogram), Purchase Megaphones for VHTs for use at sub county level, Procurement of sanitizers,","Medical Teams International (MTI), International Rescue Committee (IRC), Medical Teams International (MTI), International Rescue Committee (IRC), Medical Teams International (MTI), International Rescue Committee (IRC), Medical Teams International (MTI), International Rescue Committee (IRC), OXFAM, NSAMISI, LWF, WMU, Medical Teams International (MTI), International Rescue Committee (IRC), Medical Teams International (MTI), International Rescue Committee (IRC)","Acholi, Ankole, Bunyoro, Toro, West Nile, Acholi, Ankole, Bunyoro, Toro, West Nile","Lamwo, Isingiro, Kikuube, Kiryandongo, Kyegegwa, Kamwenge, Yumbe, Adjumani, Arua, Koboko, Madiokollo, Obongi, Lamwo"
"ID-124","CARE International","Women and Youth Resilience Project","Ongoing Project","Case management, Mental health, Risk communications","Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Finalize psychosocial support materials, None,","Partners for Community Health and Development organisations, Partners for Community Health and Development organisations,Community Empowerment for Rural Development","Acholi, Acholi, West Nile","Gulu, Gulu, Arua"
"ID-125","Norwegian Refugee Council (NRC)","Support setting up isolation shelter and renovation works (new facilities & old), supply of handwashing facilities and soap to health centres, support with fuel at district level and support with water storage tanks","New Project","Coordination, Infection prevention, WASH, Mental health, Risk communications, Logistics","Technical support to local governments on COVID_19 Response, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Fuel and maintenance requirementst for central (delivery of medical supplies, IEC materials), Provision of mattresses and beddings for isolation centres, Purchase Megaphones for VHTs for use at sub county level, Procurement of sanitizers,  Multipurpose cash to support the most vulnerable during the lockdown","AHA","Ankole, Bunyoro, Kampala, West Nile, Kampala, Ankole, Bunyoro, Kampala, West Nile, Kampala, West Nile, Ankole, Bunyoro, West Nile, Ankole, Kampala, West Nile","Isingiro, Kikuube, Hoima, Kampala, Yumbe, Adjumani, Arua, Isingiro, Kikuube"
"ID-126","Norwegian Refugee Council (NRC)","targeting the most vulnerable persons using Community based approach and community based protection analysis","New Project","WASH, Risk communications, Logistics","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., Procurement of sanitizers, Procurement of soap, Procurement of water tanks, Chlorination, Improvement of WASH facilities in Isolation/Quaranteen centres, Procure boots, Water, Sanitation & Hygiene transportation, last mile distribution, and other logistics costs, None,","AHA and Cafomi","Ankole, Bunyoro, Kampala, West Nile","Isingiro, Kikuube, Kampala, Yumbe, Adjumani, Arua"
"ID-127","Norwegian Refugee Council (NRC)","None","New Project","other","None,","","Ankole","Isingiro"
"ID-128","Norwegian Refugee Council (NRC)","None","New Project","other","None,","","Kampala","Kampala"
"ID-129","International Rescue Committee (IRC)","CORE Group Polio Project (CGPP)","Ongoing Project","Surveillance, Laboratory, Risk communications","Orient Health workers on COVID-19 surveillance, None,","","Acholi, West Nile","Lamwo, Yumbe"
"ID-130","International Rescue Committee (IRC)","Enhancing the resilience of urban refugees and vulnerable host communities in Kampala through an integrated protection and livelihoods approach","Ongoing Project","Risk communications","None,","","Kampala","Kampala"
"ID-131","International Rescue Committee (IRC)","Provision of multi-sector assistance and protection to South Sudanese refugees in West Nile, Uganda","Ongoing Project","WASH, Mental health, Risk communications, Logistics","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Supervise and monitor psychosocial services in the affected communities, Procurement of soap, None,","","West Nile","Yumbe"
"ID-132","International Rescue Committee (IRC)","Provision of Protection, Legal, Community-Based Protection I Services, SGBV, Child Protection, Psychosocial Support and : Health and Nutrition Services for Refugees residing in Arua, Yumbe, and Lamwo","Ongoing Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, Mental health, Risk communications, Human resources","Orientation for surge staff, Technical support to local governments on COVID_19 Response, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Printing and distribution of  tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Case Investigation, Contact identification, contact tracing, and contact follow up and contacts of contacts, Activate Ambulance services to aid referral of patients, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Finalize psychosocial support materials, Recruitment costs for additional staff, Recruitment of surge staff, Ensure remuneration and compensation of responders, Ensure remuneration and compensation of health care providers","TPO","Acholi, West Nile","Lamwo, Yumbe, Arua"
"ID-133","International Rescue Committee (IRC)","UNFPA International Rescue Committee Annual Work Plan 2020","Ongoing Project","Coordination, Infection prevention, Risk communications","Technical support to local governments on COVID_19 Response, Procure or construct IPC materials for health facilities, None,","","Karamoja","Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk"
"ID-134","International Rescue Committee (IRC)","Ebola Preparedness in Communities at High Risk of Receiving Ebola Cases Imported from DRC","Ongoing Project","Infection prevention, WASH, Risk communications","Procure or construct IPC materials for health facilities, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, None,","","Bunyoro, Toro","Kagadi, Kyegegwa"
"ID-135","International Rescue Committee (IRC)","Epidemic preparedness and response and life saving health services to newly arrived refugees and vulnerable host populations","New Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, Risk communications, Logistics, Human resources","Technical support to local governments on COVID_19 Response, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Printing and distribution of  tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Case Investigation, Contact identification, contact tracing, and contact follow up and contacts of contacts, Activate Ambulance services to aid referral of patients, Delivery of medicines to patients isolated at home. This could also cover other conditions like HIV, NCDs (To be piloted), Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of ambulances, Procurement of other medical equipment, Recruitment costs for additional staff, Recruitment of surge staff,","","Acholi, Bunyoro, Toro, West Nile","Lamwo, Kagadi, Kasese, Yumbe, Arua, Madiokollo"
"ID-136","International Rescue Committee (IRC)","Access, protection, empowerment, accountability, and leadership","New Project","Mental health, Risk communications","Supervise and monitor psychosocial services in the affected communities, None,","","Toro","Kyegegwa"
"ID-137","International Rescue Committee (IRC)","Unrestricted internal emergency response funds from IRC","New Project","Infection prevention, Case management, Logistics","Procure or construct IPC materials for health facilities, Activate Ambulance services to aid referral of patients, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of medicines and supplies for patient management, Procurement of other medical equipment, Procurement of sanitizers, None,","","Acholi, Bunyoro, Kampala, Toro, West Nile","Lamwo, Kagadi, Kampala, Kyegegwa, Kasese, Yumbe, Arua"
"ID-138","Living Goods","Supporting government to have a coordinated community response on prevention detection and response to COVID-19","Ongoing Project","Coordination, Infection prevention, WASH, ICT innovations, Mental health, Risk communications, Logistics, Human resources","Activation of National Task Force, district task force and sub-committees., Develop and issue information products including situational reports on COVID-19, Technical support to local governments on COVID_19 Response, Facilitation of MoH Top Management Team in coordination and support to local governments, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Widen scope of implementation of eMeeting, Emergency Hotline, Strengthen the District routine  reporting data, Facilitation for COVID Response Teams,  Developed bguidelines fofr the MONH for covid 19","DL, DL and Community Health workers","Busoga, Elgon, Kampala, Southbuganda, Teso, Elgon, Kampala, Lango, Southbuganda, Elgon, Lango, Southbuganda","Kamuli, Iganga, Jinja, Mbale, Kampala, Masaka, Wakiso, Soroti, Sironko, Mbale, Lira"
"ID-139","Oxfam","Support for Community Based Initiatives for COVID-19 Preparedness and Response in Rhino/Omugo Refugee Settlement, Arua, Uganda","New Project","Infection prevention, WASH, Risk communications","Procure or construct IPC materials for health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., None,","YSAT, YSAT, Oxfam, YSAT, Oxfam","West Nile","Arua"
"ID-140","Oxfam","COVID-19 activities","Ongoing Project","WASH, Risk communications","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., None,  Improving the safety and self-reliance of conflict affected displaced populations and host communities in DRC and Uganda:  Integrated WASH, EFSVL and Protection","","Toro","Kyegegwa"
"ID-141","Ministry of Security","Surviellence","Ongoing Project","Surveillance, Laboratory","Case Investigation, Contact identification, contact tracing, and contact follow up and contacts of contacts, Define containment measures including geographical cordoning, None,","","Acholi, Ankole, Bukedi, Bunyoro, Busoga, Elgon, Kampala, Karamoja, Kigezi, Lango, Northbuganda, Southbuganda, Teso, Toro, West Nile","Lamwo, Omoro, Amuru, Kitgum, Gulu, Agago, Pader, Nwoya, Ibanda, Sheema, Rubirizi, Ntungamo, Mbarara, Mitooma, Kiruhura, Buhweju, Bushenyi, Isingiro, Rwampara, Kazo, Butebo, Busia, Budaka, Tororo, Butaleja, Pallisa, Kibuku, Masindi, Kagadi, Kibaale, Kikuube, Buliisa, Kakumiro, Kiryandongo, Hoima, Kamuli, Iganga, Namayingo, Luuka, Kaliro, Jinja, Buyende, Namutumba, Bugiri, Mayuge, Bugweri, Kween, Bukwo, Kapchorwa, Bududa, Manafwa, Sironko, Mbale, Namisindwa, Bulambuli, Kampala, Moroto, Kaabong, Nakapiripirit, Kotido, Napak, Abim, Amudat, Nabilatuk, Karenga, Rukungiri, Rubanda, Rukiga, Kanungu, Kisoro, Kabale, Alebtong, Kole, Amolatar, Dokolo, Apac, Lira, Otuke, Oyam, Kwania, Buikwe, Luwero, Nakasongola, Mubende, Buvuma, Kayunga, Kyankwanzi, Kiboga, Mukono, Nakaseke, Mityana, Kassanda, Masaka, Kalangala, Wakiso, Bukomansimbi, Mpigi, Lwengo, Lyantonde, Ssembabule, Butambala, Kalungu, Kyotera, Gomba, Rakai, Bukedea, Kaberamaido, Soroti, Serere, Amuria, Katakwi, Kumi, Ngora, Kapelebyong, Kalaki, Kabarole, Bunyangabu, Kyegegwa, Kyenjojo, Kasese, Kamwenge, Ntoroko, Bundibugyo, Kitagwenda, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
"ID-142","United States Agency for International Development","Uganda Health Supply Chain (UHSC)","Ongoing Project","Coordination, Logistics, Human resources","Recruitment of surge staff, Other,","Management Sciences for Health (MSH), Management Sciences for Health (MSH), Management Sciences for Health (MSH)","Kampala, Kampala","Kampala, Kampala"
"ID-143","United States Agency for International Development","Communication for Health Communities","Ongoing Project","Coordination, Risk communications","None,","FHI 360, FHI 360","Kampala, Kampala","Kampala, Kampala"
"ID-144","Humanity & Inclusion","Physical Rehabilitation for Persons with Disabilities","Ongoing Project","Mental health, Risk communications, Logistics","Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, Procurement of sanitizers, Procurement of soap, None,  continuation of acute care for person with disabilities","","West Nile","Arua"
"ID-145","Humanity & Inclusion","Mental Health and Psycho-social Support","Ongoing Project","Mental health, Risk communications, Logistics","Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Supervise and monitor psychosocial services in the affected communities, Finalize psychosocial support materials, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, None,","","Bunyoro, Toro, Bunyoro, Toro, Busoga, Toro","Kikuube, Kyegegwa, Kikuube"
"ID-146","Humanity & Inclusion","Home based Inclusive Education for Children with Disabilities","New Project","Mental health, Risk communications","Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, None,  provision of home based learning for children with disabilities","","West Nile","Yumbe, Arua, Obongi"
