"District","Coordination_n","PreventionControl_n","Surveillance_n","CaseManagement_n","RiskCommunication_n","MentalHealth_n","ICTInnovation_n","WASH_n","Logistics_n","HumanResources_n","Laboratory_n","Coordination","PreventionControl","Surveillance","CaseManagement","RiskCommunication","MentalHealth","ICTInnovation","WASH","Logistics","HumanResources","Laboratory"
"NAPAK",10,8,5,5,11,4,5,6,7,5,0,"Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | Voluntary Services Overseas (VSO) | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | Voluntary Services Overseas (VSO) | World Health Organisation","AWO International | Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation","AWO International | Doctors with Africa CUAMM | Farm Radio International | UNICEF | Voluntary Services Overseas (VSO) | Welthungerhilfe","Doctors with Africa CUAMM | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation",
"KABALE",3,2,7,2,6,1,5,1,6,3,0,"Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Infectious Diseases Institute | Makerere University | Medical Teams International | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | Infectious Diseases Institute | Makerere University | MapUganda | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | Infectious Diseases Institute | Makerere University | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | Infectious Diseases Institute | Makerere University | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation",
"KANUNGU",7,7,8,4,10,3,7,4,9,5,0,"Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Malteser International | Medical Teams International | Ministry of Health | United Nations Population Fund (UNFPA) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Malteser International | Medical Teams International | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Infectious Diseases Institute | Makerere University | Malteser International | Ministry of Security | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Medical Teams International | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Farm Radio International | Infectious Diseases Institute | Makerere University | Malteser International | Medical Teams International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Malteser International | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | Infectious Diseases Institute | Makerere University | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Farm Radio International | Malteser International","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Infectious Diseases Institute | Makerere University | Malteser International | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Malteser International | UNICEF | United States Agency for International Development | World Health Organisation",
"KISORO",8,6,8,4,10,2,6,4,9,5,0,"Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Malteser International | MapUganda | Medical Teams International | Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Malteser International | Medical Teams International | United States Agency for International Development | World Health Organisation","BRAC Uganda | Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Infectious Diseases Institute | Makerere University | Ministry of Security | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Medical Teams International | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Farm Radio International | Infectious Diseases Institute | Makerere University | Malteser International | MapUganda | Medical Teams International | UNICEF | World Health Organisation","Malteser International | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | Infectious Diseases Institute | Makerere University | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Farm Radio International | Malteser International","BRAC Uganda | Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Infectious Diseases Institute | Makerere University | Malteser International | UNICEF | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Malteser International | UNICEF | United States Agency for International Development | World Health Organisation",
"RUBANDA",3,3,4,2,4,1,3,2,4,3,0,"Conservation Through Public Health (CTPH) | Ministry of Health | World Health Organisation","Conservation Through Public Health (CTPH) | United States Agency for International Development | World Health Organisation","Conservation Through Public Health (CTPH) | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Conservation Through Public Health (CTPH) | Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Conservation Through Public Health (CTPH) | Farm Radio International","Conservation Through Public Health (CTPH) | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation",
"RUKIGA",2,2,4,2,3,1,3,1,4,3,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation",
"RUKUNGIRI",2,2,4,2,3,1,3,1,4,3,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation",
"ALEBTONG",3,3,3,3,3,2,3,2,3,2,0,"Ministry of Health | UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation",
"AMOLATAR",3,3,3,3,4,2,3,2,3,2,0,"Ministry of Health | UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Broederlijk Delen | Farm Radio International | UNICEF | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation",
"APAC",3,3,4,3,3,2,3,2,4,2,0,"Ministry of Health | UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation",
"DOKOLO",4,3,4,3,4,3,4,3,5,2,0,"ChildFund International | Ministry of Health | UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | UNICEF | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF","BRAC Uganda | ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation",
"KOLE",6,4,4,3,6,4,4,5,6,4,0,"ChildFund International | Food for the Hungry | Food for the Hungry Association | Ministry of Health | UNICEF | World Health Organisation","Food for the Hungry | UNICEF | United States Agency for International Development | World Health Organisation","Food for the Hungry | Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Food for the Hungry | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Food for the Hungry | UNICEF | World Vision Uganda","ChildFund International | Food for the Hungry | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","Food for the Hungry | UNICEF | World Health Organisation | World Vision Uganda",
"KWANIA",4,3,3,3,4,3,4,3,4,2,0,"ChildFund International | Ministry of Health | UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | UNICEF | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation",
"LIRA",4,5,5,4,6,3,4,4,6,3,0,"Ministry of Health | Plan International Uganda | UNICEF | World Health Organisation","Living Goods | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation","Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation","Broederlijk Delen | Farm Radio International | Living Goods | Plan International Uganda | UNICEF | World Health Organisation","Living Goods | UNICEF | World Health Organisation","Farm Radio International | Living Goods | United States Agency for International Development | World Health Organisation","Farm Radio International | Living Goods | Plan International Uganda | UNICEF","BRAC Uganda | Living Goods | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation","Living Goods | UNICEF | World Health Organisation",
"OTUKE",4,4,3,3,4,3,3,2,4,3,0,"Ministry of Health | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation | World Vision Uganda",
"OYAM",5,4,5,4,6,4,4,5,6,3,0,"Doctors with Africa CUAMM | Ministry of Health | Street Child of Uganda | UNICEF | World Health Organisation","Doctors with Africa CUAMM | UNICEF | United States Agency for International Development | World Health Organisation","BRAC Uganda | Doctors with Africa CUAMM | Ministry of Security | United States Agency for International Development | World Health Organisation","Doctors with Africa CUAMM | UNICEF | United States Agency for International Development | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Street Child of Uganda | UNICEF | World Health Organisation | World Vision Uganda","Street Child of Uganda | UNICEF | World Health Organisation | World Vision Uganda","Doctors with Africa CUAMM | Farm Radio International | United States Agency for International Development | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Street Child of Uganda | UNICEF | World Vision Uganda","BRAC Uganda | Doctors with Africa CUAMM | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","Doctors with Africa CUAMM | UNICEF | World Health Organisation",
"BUIKWE",6,6,5,3,6,4,4,4,7,4,0,"BRAC Uganda | LifeNet International | Makerere University Walter Reed Project | Ministry of Health | Street Business School | World Health Organisation","BRAC Uganda | LifeNet International | Makerere University Walter Reed Project | Street Business School | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation | World Vision Uganda","BRAC Uganda | Makerere University Walter Reed Project | World Health Organisation | World Vision Uganda","Farm Radio International | LifeNet International | Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | LifeNet International | Makerere University Walter Reed Project | World Vision Uganda","BRAC Uganda | LifeNet International | Makerere University Walter Reed Project | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","LifeNet International | Makerere University Walter Reed Project | World Health Organisation | World Vision Uganda",
"BUVUMA",3,3,3,2,4,2,3,2,4,2,0,"Makerere University Walter Reed Project | Ministry of Health | World Health Organisation","Makerere University Walter Reed Project | United Nations Population Fund (UNFPA) | World Health Organisation","Makerere University Walter Reed Project | Ministry of Security | World Health Organisation","Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project | UNICEF | World Health Organisation","Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project","Makerere University Walter Reed Project | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Makerere University Walter Reed Project | World Health Organisation",
"KASSANDA",3,3,3,2,3,1,2,2,3,2,0,"Clinton Health Access Initiative | Ministry of Health | World Health Organisation","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Clinton Health Access Initiative | Ministry of Security | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","UNICEF | World Health Organisation",
"KAYUNGA",4,5,4,3,5,2,3,3,5,3,0,"Makerere University Walter Reed Project | Ministry of Health | Street Business School | World Health Organisation","Makerere University Walter Reed Project | Street Business School | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | Makerere University Walter Reed Project | Ministry of Security | World Health Organisation","Makerere University Walter Reed Project | UNICEF | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project | Restless Development Uganda | UNICEF | World Health Organisation","Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project | UNICEF","BRAC Uganda | Makerere University Walter Reed Project | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Makerere University Walter Reed Project | UNICEF | World Health Organisation",
"KIBOGA",2,2,3,1,4,2,2,2,5,2,0,"Ministry of Health | World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | Ministry of Security | World Health Organisation","World Health Organisation","Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda","Farm Radio International | World Health Organisation","Farm Radio International | World Vision Uganda","BRAC Uganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda",
"KYANKWANZI",3,2,3,1,4,2,3,2,4,1,0,"ChildFund International | Ministry of Health | World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | Ministry of Security | World Health Organisation","World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","World Health Organisation",
"LUWERO",5,5,4,2,4,2,3,2,5,1,0,"BRAC Uganda | LifeNet International | Ministry of Health | Street Business School | World Health Organisation","BRAC Uganda | LifeNet International | Street Business School | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","BRAC Uganda | World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","BRAC Uganda | LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","World Health Organisation",
"MITYANA",4,3,5,2,4,1,3,2,5,2,0,"Clinton Health Access Initiative | LifeNet International | Ministry of Health | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | Clinton Health Access Initiative | LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","BRAC Uganda | LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation",
"MUBENDE",4,5,5,4,4,1,3,3,6,4,0,"Clinton Health Access Initiative | LifeNet International | Ministry of Health | World Health Organisation","Clinton Health Access Initiative | LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | Clinton Health Access Initiative | LifeNet International | Ministry of Security | World Health Organisation","Clinton Health Access Initiative | LifeNet International | UNICEF | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF","BRAC Uganda | Clinton Health Access Initiative | LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Clinton Health Access Initiative | LifeNet International | UNICEF | World Health Organisation",
"MUKONO",6,7,5,4,6,3,5,5,6,4,0,"BRAC Uganda | LifeNet International | Makerere University Walter Reed Project | Ministry of Health | Street Business School | World Health Organisation","BRAC Uganda | LifeNet International | Makerere University Walter Reed Project | Street Business School | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | LifeNet International | Makerere University Walter Reed Project | Ministry of Security | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation","BRAC Uganda | Farm Radio International | LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation","BRAC Uganda | Makerere University Walter Reed Project | World Health Organisation","BRAC Uganda | Farm Radio International | LifeNet International | Makerere University Walter Reed Project | World Health Organisation","BRAC Uganda | Farm Radio International | LifeNet International | Makerere University Walter Reed Project | UNICEF","BRAC Uganda | LifeNet International | Makerere University Walter Reed Project | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation",
"NAKASEKE",3,3,3,2,4,1,3,2,4,2,0,"LifeNet International | Ministry of Health | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation",
"NAKASONGOLA",4,4,4,4,4,1,3,3,4,3,0,"LifeNet International | Makerere University Walter Reed Project | Ministry of Health | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | Ministry of Security | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | UNICEF | World Health Organisation",
"BUKOMANSIMBI",3,3,3,2,4,1,3,2,5,2,0,"LifeNet International | Ministry of Health | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","Korea Foundation for International Healthcare(KOFIH) | LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation",
"BUTAMBALA",3,3,3,2,4,2,3,2,4,2,0,"LifeNet International | Ministry of Health | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation | World Vision Uganda","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation",
"GOMBA",2,2,2,1,3,1,2,1,3,1,0,"Ministry of Health | World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","Ministry of Security | World Health Organisation","World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","World Health Organisation",
"KALANGALA",3,3,2,2,3,2,2,2,4,2,0,"MapUganda | Ministry of Health | World Health Organisation","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Ministry of Security | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International | UNICEF","MapUganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","UNICEF | World Health Organisation",
"KALUNGU",2,2,2,1,3,1,2,1,3,1,0,"Ministry of Health | World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","Ministry of Security | World Health Organisation","World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","World Health Organisation",
"KYOTERA",4,3,4,2,4,1,3,2,6,2,0,"LifeNet International | MapUganda | Ministry of Health | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","BRAC Uganda | LifeNet International | MapUganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation",
"LWENGO",4,3,3,2,4,1,3,2,4,2,0,"Clinton Health Access Initiative | LifeNet International | Ministry of Health | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation",
"LYANTONDE",3,2,3,1,4,2,2,2,4,1,0,"Ministry of Health | Street Child of Uganda | World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | Ministry of Security | World Health Organisation","World Health Organisation","Farm Radio International | Street Child of Uganda | UNICEF | World Health Organisation","Street Child of Uganda | World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International | Street Child of Uganda","BRAC Uganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","World Health Organisation",
"MASAKA",6,5,4,3,5,2,4,4,8,4,0,"Clinton Health Access Initiative | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Ministry of Health | World Health Organisation","LifeNet International | Living Goods | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | UNICEF | World Health Organisation","Farm Radio International | LifeNet International | Living Goods | UNICEF | World Health Organisation","Living Goods | World Health Organisation","Farm Radio International | LifeNet International | Living Goods | World Health Organisation","Farm Radio International | LifeNet International | Living Goods | UNICEF","BRAC Uganda | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | MapUganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Living Goods | UNICEF | World Health Organisation",
"MPIGI",4,4,4,3,5,3,3,4,6,4,0,"LifeNet International | Ministry of Health | Street Business School | World Health Organisation","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","BRAC Uganda | LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | UNICEF | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation | World Vision Uganda","UNICEF | World Health Organisation | World Vision Uganda","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Vision Uganda","BRAC Uganda | LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","LifeNet International | UNICEF | World Health Organisation | World Vision Uganda",
"RAKAI",4,3,3,2,5,2,3,3,6,3,0,"LifeNet International | Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | World Vision Uganda","LifeNet International | MapUganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","LifeNet International | World Health Organisation | World Vision Uganda",
"SSEMBABULE",3,3,3,2,4,1,3,2,4,2,0,"LifeNet International | Ministry of Health | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation",
